Date,Home_Away,Opponent,Points_for,Points_against,Record,Conf_Record,Off_Rush_YDS,Off_Rush_TD,Off_Rush_Long,Off_Rec_ATT,Off_Rec_YDS,Off_Rec_TD,Off_Rec_Long,Off_Pass_YDS,Off_Pass_TD,Off_Pass_Long,Solo,Ast,Tot,TFL,TFL_YDS,Sacks,Sack_YDS,FF,FR,INT,Opp_Rush_ATT,Opp_Rush_YDS,Opp_Rush_TD,Opp_Rush_Long,Opp_Rec_ATT,Opp_Rec_YDS,Opp_Rec_TD,Opp_Rec_Long,Opp_Pass_YDS,Opp_Pass_TD,Opp_Pass_Long
9/6/2025,at,Austin,14,10,1-0,0-0,192,0,17,16,216,2,53,216,2,53,34,34,68,8,19,1,9,1,1,0,34,108,1,36,17,160,0,33,160,0,33
09/13/2025,vs,Bethany (WV),50,7,2-0,0-0,135,1,30,31,501,6,58,501,6,58,32,14,46,12,49,6,38,0,0,0,25,-4,0,18,7,46,0,17,46,0,17
09/20/2025,vs,Anderson (IN),27,0,3-0,0-0,161,0,53,16,139,3,18,139,3,18,30,12,42,6,31,3,23,0,0,2,25,11,0,7,13,140,0,47,140,0,47
09/27/2025,at,Calvin,16,24,3-1,0-1,64,1,14,30,347,0,50,347,0,50,44,54,98,5,22,2,16,0,0,0,46,155,1,23,26,235,2,47,235,2,47
10/04/2025,vs,Olivet,44,47,3-2,0-2,50,1,9,30,406,5,35,406,5,35,45,10,55,4,13,1,8,0,0,0,28,85,1,19,27,410,6,65,410,6,65
10/18/2025,at,Hope,21,56,3-3,0-3,5,1,11,39,312,2,23,312,2,23,36,28,64,2,6,1,1,1,1,0,37,260,6,30,25,287,2,35,287,2,35
10/25/2025,vs,Albion,30,26,4-3,1-3,129,2,74,32,318,2,50,318,2,50,36,56,92,4,14,0,0,2,1,0,39,209,2,42,24,230,1,32,230,1,32
11/01/2025,vs,Adrian,7,34,4-4,1-4,34,0,12,40,336,1,36,336,1,36,53,8,61,0,0,0,0,1,1,0,33,193,2,38,33,313,3,44,313,3,44
11/08/2025,at,Alma,3,53,4-5,1-5,35,0,11,24,205,0,20,205,0,20,41,36,77,4,5,1,1,2,1,0,50,327,6,63,16,177,0,43,177,0,43
11/15/2025,at,Trine,24,25,4-6,1-6,119,1,38,28,319,2,30,319,2,30,44,30,74,5,16,2,12,0,0,1,38,191,1,29,23,268,2,32,268,2,32
9/7/2024,vs,Austin,26,20,1-0,0-0,61,0,14,30,333,3,57,333,3,57,36,38,74,7,17,6,16,0,0,0,41,92,0,6,15,264,2,41,264,2,41
9/14/2024,vs,Kenyon,28,7,2-0,0-0,114,1,45,14,115,1,20,115,1,20,31,26,57,5,12,2,6,1,1,3,29,94,1,16,14,143,0,28,143,0,28
